,username,comments,user_channelid,posted_at,updated_at,likes,replies,reply
0,jameshello38,The only Julia I have heard is Julia Chang form Tekken,UCQOvQKldNA7_zy7SlBfe6ag,2022-05-20T08:39:51Z,2022-05-20T08:39:51Z,1,0,
1,Benedikt Hollerauer,scala in 100 seconds please,UCc_L8t5w9krEONTbB0o7-ow,2022-05-20T08:30:31Z,2022-05-20T08:30:31Z,1,0,
2,Leo Namer,Fun fact: Did you know Julia ships a patched version of LLVM to fix correctness bugs in numerical methods?<br><br>While at the same time the Julia ecosystem and libraries have reported a big number of correctness bugs...,UCw0S5WDjf0A0Z0n0Eu67j9A,2022-05-20T08:16:06Z,2022-05-20T08:16:06Z,0,0,
3,Alex Balak,You named your app .js first 😄<br>Hard to brake the habit when you are so used to JavaScript 👍<br>Me too I am so used to JavaScript 😅,UCkzVMzmv5_Ct-3DLJDvKYVw,2022-05-20T08:15:47Z,2022-05-20T08:15:47Z,0,0,
4,Péter Ittzés,Good one. How bout a 100 sec video on htmx?,UCF3maRBn2NVH1WpOHX5Vxdw,2022-05-20T08:14:13Z,2022-05-20T08:14:13Z,0,0,
5,Anish Kumar,Mathlab in 100,UCa5I3ojnYj94ZFYTPJrnCMg,2022-05-20T08:05:17Z,2022-05-20T08:05:17Z,0,0,
6,Parfect mind,"I love python and Julia. I hate {} in code it makes code massy. Indentation make code  beautiful , clean and easy to read 😊.",UCqEJqBJSvlLCUo8GYaChItg,2022-05-20T08:01:21Z,2022-05-20T08:01:21Z,1,0,
7,:),"<a href=""https://www.youtube.com/watch?v=JYs_94znYy0&amp;t=0m07s"">0:07</a> haha nerds!",UCD8CkvFpuCEU4BeMwCv1kkg,2022-05-20T07:57:04Z,2022-05-20T07:57:04Z,0,0,
8,nate edwards,"Bro, the pokemon example. Wtf?",UCKSB2-vwAKDMoswxTdDo7pw,2022-05-20T07:52:14Z,2022-05-20T07:52:14Z,0,0,
9,Secret Terminal,this title sums up my sex life pretty well,UCBt8LWn675tZGd-rt-0_2UA,2022-05-20T07:30:14Z,2022-05-20T07:30:14Z,0,0,
10,Sheikh Taha Jamil,You are great and your videos are also great. Thanks,UCeV89n1xJDcOfn1ETippvrA,2022-05-20T07:29:36Z,2022-05-20T07:30:08Z,0,0,
11,Lorenzo Gabriele,Scala in 100 seconds 🙏,UC9zbZVYf3mkx0vgVqc3NTlQ,2022-05-20T07:08:14Z,2022-05-20T07:08:14Z,0,0,
